file_name,function_name,complexity,tokens,triaged_out,model,llm_latency_s,verification_latency_s,verdict,orig_instrs,final_instrs,reduction_pct
himenobmtxpa.bc,fflop,1,2898,True,,,,pending,19,19,0.0
himenobmtxpa.bc,mflops,1,2828,True,,,,pending,14,14,0.0
himenobmtxpa.bc,set_param,11,4423,False,ollama/qwen2.5-coder:3b,,,pending,98,98,0.0
himenobmtxpa.bc,second,3,3341,True,,,,pending,39,39,0.0
salsa20.bc,salsa20,4,12190,True,,,,pending,609,609,0.0
salsa20.bc,salsa,2,1192,True,,,,pending,18,18,0.0
salsa20.bc,main,3,1928,True,,,,pending,61,61,0.0
lowercase.bc,main,2,2081,True,,,,pending,22,22,0.0
lowercase.bc,doTest,3,3106,True,,,,pending,76,76,0.0
lowercase.bc,lower_StringImpl,3,2703,True,,,,pending,60,60,0.0
lowercase.bc,toASCIILower,2,2008,True,,,,pending,18,18,0.0
ffbench.bc,main,18,7253,False,ollama/qwen2.5-coder:3b,32.999,,syntax_fail,314,314,0.0
ffbench.bc,fourn,13,9128,False,ollama/qwen2.5-coder:7b,52.217,,syntax_fail,450,450,0.0
ReedSolomon.bc,rsdec_204,7,3479,False,ollama/qwen2.5-coder:3b,33.725,,syntax_fail,115,115,0.0
ReedSolomon.bc,rsenc_204,6,3060,False,ollama/qwen2.5-coder:3b,112.027,,syntax_fail,92,92,0.0
ReedSolomon.bc,main,4,2834,True,,,,pending,73,73,0.0
ReedSolomon.bc,generate_gf,5,3508,False,ollama/qwen2.5-coder:3b,93.981,,syntax_fail,106,106,0.0
ReedSolomon.bc,gen_poly,5,3459,False,ollama/qwen2.5-coder:3b,31.897,,syntax_fail,107,107,0.0
ReedSolomon.bc,decode_rs,59,23866,False,ollama/qwen2.5-coder:7b,84.43,0.128,unsupported,1217,1217,0.0
ReedSolomon.bc,encode_rs,7,3744,False,ollama/qwen2.5-coder:3b,,,pending,124,124,0.0
matmul_f64_4x4.bc,wrap_mul4,1,1758,True,,,,pending,11,11,0.0
matmul_f64_4x4.bc,mul4,2,14570,True,,,,pending,640,640,0.0
matmul_f64_4x4.bc,main,4,2924,True,,,,pending,68,68,0.0
pi.bc,myadd,1,1068,True,,,,pending,12,12,0.0
pi.bc,main,3,3336,True,,,,pending,144,144,0.0
fp-convert.bc,loop,2,1473,True,,,,pending,39,39,0.0
fp-convert.bc,main,4,2417,True,,,,pending,89,89,0.0
aarch64-init-cpu-features.bc,main,4,1543,True,,,,pending,45,45,0.0
flops-8.bc,main,2,5390,True,,,,pending,201,201,0.0
mandel-2.bc,sqr,1,998,True,,,,pending,6,6,0.0
mandel-2.bc,cnorm2,1,1179,True,,,,pending,14,14,0.0
mandel-2.bc,loop,5,2414,False,ollama/qwen2.5-coder:3b,37.631,,syntax_fail,76,76,0.0
mandel-2.bc,main,4,1828,True,,,,pending,52,52,0.0
oourafft.bc,main,8,8134,False,ollama/qwen2.5-coder:7b,70.497,,syntax_fail,301,301,0.0
oourafft.bc,get_time,1,3099,True,,,,pending,12,12,0.0
oourafft.bc,makewt,4,4816,True,,,,pending,122,122,0.0
